Order_ID, Date_, Subtotal, Tip, Coupon_Code
142,2022-10-4,42.5,0.93,
143,2022-10-4,22.5,1.76,
144,2022-10-4,60.0,3.97,
145,2022-10-4,60.0,4.61,
146,2022-10-4,45.0,2.04,
147,2022-10-4,45.0,4.69,
148,2022-10-4,35.0,1.82,
149,2022-10-4,22.5,4.75,
150,2022-10-4,20,1.44,
151,2022-10-4,45.0,1.24,
152,2022-10-4,55.0,1.04,
153,2022-10-4,35.0,0.48,
154,2022-10-4,35.0,2.68,
155,2022-10-4,22.5,1.98,
156,2022-10-4,22.5,1.08,
157,2022-10-4,57.5,4.87,
158,2022-10-4,22.5,4.11,
159,2022-10-4,42.5,4.25,
160,2022-10-4,55.0,0.41,
161,2022-10-4,30,2.76,
162,2022-10-4,12.5,0.21,
163,2022-10-4,32.5,1.17,
164,2022-10-4,25.0,4.07,
165,2022-10-4,57.5,0.89,
166,2022-10-4,35.0,4.85,
167,2022-10-4,35.0,4.71,
168,2022-10-4,12.5,4.9,
169,2022-10-4,45.0,3.84,
170,2022-10-4,12.5,4.17,
171,2022-10-4,57.5,4.05,
172,2022-10-4,25.0,2.37,
173,2022-10-4,50,0.72,
174,2022-10-4,32.5,1.39,
175,2022-10-4,20,1.91,
176,2022-10-4,45.0,3.35,
177,2022-10-4,35.0,2.89,
178,2022-10-4,55.0,4.14,
179,2022-10-4,57.5,2.93,
180,2022-10-4,57.5,1.52,
181,2022-10-4,32.5,4.24,
182,2022-10-4,22.5,1.65,
183,2022-10-4,37.5,1.03,
184,2022-10-4,32.5,0.15,
185,2022-10-4,50.0,2.85,
186,2022-10-4,57.5,0.45,
187,2022-10-4,22.5,1.2,
188,2022-10-4,45.0,1.83,
189,2022-10-4,10,1.86,
190,2022-10-4,35.0,4.27,
191,2022-10-4,35.0,0.69,
192,2022-10-4,60.0,1.02,
193,2022-10-4,22.5,3.97,
194,2022-10-4,10,0.35,
195,2022-10-4,32.5,3.2,
196,2022-10-4,42.5,3.62,
197,2022-10-4,12.5,2.72,
198,2022-10-4,20,1.83,
199,2022-10-4,35.0,0.92,
200,2022-10-5,45.0,2.07,
201,2022-10-5,50.0,0.22,
202,2022-10-5,45.0,1.02,
203,2022-10-5,25.0,4.94,
204,2022-10-5,22.5,1.22,
205,2022-10-5,40,2.29,
206,2022-10-5,55.0,2.91,
207,2022-10-5,45.0,2.33,
208,2022-10-5,45.0,3.38,
209,2022-10-5,32.5,4.71,
210,2022-10-5,32.5,4.24,
211,2022-10-5,35.0,1.31,
212,2022-10-5,52.5,4.99,
213,2022-10-5,20,3.95,
214,2022-10-5,47.5,0.77,
215,2022-10-5,25.0,1.73,
216,2022-10-5,10,2.87,
217,2022-10-5,12.5,1.89,
218,2022-10-5,22.5,2.45,
219,2022-10-5,45.0,2.99,
220,2022-10-5,50,2.7,
221,2022-10-5,47.5,0.66,
222,2022-10-5,25.0,1.87,
223,2022-10-5,32.5,2.3,
224,2022-10-5,20,0.61,
225,2022-10-5,35.0,1.61,
226,2022-10-5,12.5,4.04,
227,2022-10-5,25.0,2.33,
228,2022-10-5,42.5,1.35,
229,2022-10-5,12.5,1.15,
230,2022-10-5,22.5,4.74,
231,2022-10-5,52.5,0.55,
232,2022-10-5,47.5,2.98,
233,2022-10-5,60.0,0.22,
234,2022-10-5,10,4.73,
235,2022-10-5,45.0,4.91,
236,2022-10-5,35.0,4.41,
237,2022-10-5,52.5,0.32,
238,2022-10-5,12.5,2.45,
239,2022-10-5,12.5,4.24,
240,2022-10-5,32.5,4.99,
241,2022-10-5,22.5,2.45,
242,2022-10-5,12.5,1.05,
243,2022-10-5,32.5,1.9,
244,2022-10-5,45.0,0.6,
245,2022-10-5,35.0,0.32,
246,2022-10-5,10,4.69,
247,2022-10-5,60.0,3.45,
248,2022-10-5,45.0,2.09,
249,2022-10-5,12.5,4.28,
250,2022-10-5,20,0.73,
251,2022-10-5,37.5,0.75,
252,2022-10-5,22.5,0.33,
253,2022-10-5,25.0,0.97,
254,2022-10-5,22.5,2.12,
255,2022-10-5,25.0,1.53,
256,2022-10-5,10,0.47,
257,2022-10-5,45.0,4.45,
258,2022-10-5,32.5,4.77,
259,2022-10-5,32.5,3.07,
260,2022-10-5,37.5,1.45,
261,2022-10-5,22.5,4.1,
262,2022-10-5,42.5,3.08,
263,2022-10-5,10,1.41,
264,2022-10-5,35.0,3.03,
265,2022-10-5,22.5,4.1,
266,2022-10-5,32.5,4.24,
267,2022-10-5,45.0,3.33,
268,2022-10-5,12.5,4.98,
269,2022-10-5,45.0,0.66,
270,2022-10-5,10,4.96,
271,2022-10-5,20,2.84,
272,2022-10-5,57.5,4.72,
273,2022-10-5,10,0.45,
274,2022-10-5,60.0,2.88,
275,2022-10-5,62.5,1.32,
276,2022-10-5,30,2.18,
277,2022-10-5,42.5,2.1,
278,2022-10-5,12.5,0.84,
279,2022-10-5,10,1.18,
280,2022-10-5,57.5,4.01,
281,2022-10-5,12.5,1.63,
282,2022-10-5,10,4.97,
283,2022-10-5,22.5,3.4,
284,2022-10-5,57.5,0.94,
285,2022-10-5,55.0,1.66,
286,2022-10-5,12.5,0.39,
287,2022-10-5,22.5,4.86,
288,2022-10-5,10,4.6,
289,2022-10-5,22.5,0.04,
290,2022-10-5,10,0.33,
291,2022-10-5,12.5,1.01,
292,2022-10-5,42.5,3.59,
293,2022-10-5,12.5,0.81,
294,2022-10-5,22.5,1.07,
295,2022-10-5,30,2.47,
296,2022-10-5,32.5,0.95,
297,2022-10-5,22.5,0.46,
298,2022-10-5,55.0,4.68,
299,2022-10-5,20,3.55,
300,2022-10-6,32.5,2.19,
301,2022-10-6,55.0,4.01,
302,2022-10-6,55.0,2.02,
303,2022-10-6,35.0,5.0,
304,2022-10-6,57.5,4.75,
305,2022-10-6,22.5,2.66,
306,2022-10-6,10,4.15,
307,2022-10-6,22.5,4.76,
308,2022-10-6,57.5,3.38,
309,2022-10-6,10,1.17,
310,2022-10-6,57.5,4.76,
311,2022-10-6,57.5,0.3,
312,2022-10-6,10,4.81,
313,2022-10-6,55.0,0.43,
314,2022-10-6,10,0.07,
315,2022-10-6,22.5,3.96,
316,2022-10-6,22.5,3.04,
317,2022-10-6,35.0,3.52,
318,2022-10-6,57.5,2.54,
319,2022-10-6,12.5,4.54,
320,2022-10-6,55.0,1.91,
321,2022-10-6,22.5,2.65,
322,2022-10-6,25.0,1.02,
323,2022-10-6,55.0,3.68,
324,2022-10-6,50,2.14,
325,2022-10-6,32.5,2.12,
326,2022-10-6,12.5,3.46,
327,2022-10-6,35.0,1.05,
328,2022-10-6,30,2.88,
329,2022-10-6,12.5,0.84,
330,2022-10-6,47.5,3.52,
331,2022-10-6,45.0,2.88,
332,2022-10-6,10,4.36,
333,2022-10-6,10,0.51,
334,2022-10-6,22.5,2.38,
335,2022-10-6,42.5,3.54,
336,2022-10-6,37.5,3.01,
337,2022-10-6,35.0,4.88,
338,2022-10-6,62.5,0.3,
339,2022-10-6,30,0.48,
340,2022-10-6,45.0,0.07,
341,2022-10-6,10,0.91,
342,2022-10-6,12.5,4.19,
343,2022-10-6,45.0,3.69,
344,2022-10-6,22.5,3.16,
345,2022-10-6,40,2.11,
346,2022-10-6,47.5,4.03,
347,2022-10-6,47.5,4.85,
348,2022-10-6,45.0,1.61,
349,2022-10-6,12.5,3.26,
350,2022-10-6,10,4.62,
351,2022-10-6,35.0,4.12,
352,2022-10-6,45.0,4.03,
353,2022-10-6,12.5,2.98,
354,2022-10-6,50,3.51,
355,2022-10-6,20,1.43,
356,2022-10-6,25.0,2.75,
357,2022-10-6,47.5,4.48,
358,2022-10-6,10,1.57,
359,2022-10-6,22.5,1.64,
360,2022-10-6,12.5,0.81,
361,2022-10-6,55.0,4.72,
362,2022-10-6,55.0,3.42,
363,2022-10-6,12.5,4.09,
364,2022-10-6,22.5,0.74,
365,2022-10-6,45.0,2.71,
366,2022-10-6,10,3.0,
367,2022-10-6,10,2.0,
368,2022-10-6,57.5,0.21,
369,2022-10-6,40,3.45,
370,2022-10-6,22.5,2.08,
371,2022-10-6,22.5,1.9,
372,2022-10-6,55.0,2.34,
373,2022-10-6,22.5,0.98,
374,2022-10-6,55.0,0.68,
375,2022-10-6,57.5,4.71,
376,2022-10-6,45.0,1.28,
377,2022-10-6,22.5,0.83,
378,2022-10-6,22.5,0.87,
379,2022-10-6,12.5,4.27,
380,2022-10-6,10,0.62,
381,2022-10-6,22.5,1.23,
382,2022-10-6,55.0,2.39,
383,2022-10-6,12.5,4.91,
384,2022-10-6,57.5,4.22,
385,2022-10-6,32.5,0.27,
386,2022-10-6,12.5,2.29,
387,2022-10-6,32.5,1.9,
388,2022-10-6,12.5,2.5,
389,2022-10-6,45.0,4.56,
390,2022-10-6,45.0,3.88,
391,2022-10-6,55.0,4.63,
392,2022-10-6,20,4.59,
393,2022-10-6,50,0.23,
394,2022-10-6,47.5,4.91,
395,2022-10-6,35.0,4.65,
396,2022-10-6,45.0,0.69,
397,2022-10-6,62.5,0.79,
398,2022-10-6,32.5,4.47,
399,2022-10-6,22.5,1.56,
400,2022-10-6,20,3.08,
401,2022-10-6,45.0,1.98,
402,2022-10-6,20,0.04,
403,2022-10-6,57.5,4.21,
404,2022-10-6,22.5,1.12,
405,2022-10-6,35.0,3.33,
406,2022-10-6,10,4.94,
407,2022-10-6,42.5,4.61,
408,2022-10-6,10,0.13,
409,2022-10-6,30,1.2,
410,2022-10-6,22.5,4.63,
411,2022-10-6,22.5,0.3,
412,2022-10-6,32.5,2.63,
413,2022-10-6,32.5,1.11,
414,2022-10-6,22.5,1.76,
415,2022-10-6,25.0,0.64,
416,2022-10-6,22.5,2.75,
417,2022-10-6,42.5,4.97,
418,2022-10-6,47.5,3.3,
419,2022-10-6,22.5,3.2,
420,2022-10-6,30,1.34,
421,2022-10-6,37.5,3.46,
422,2022-10-6,55.0,4.61,
423,2022-10-6,57.5,3.04,
424,2022-10-6,32.5,3.26,
425,2022-10-6,22.5,2.35,
426,2022-10-6,12.5,2.7,
427,2022-10-6,32.5,4.48,
428,2022-10-6,57.5,4.45,
429,2022-10-6,42.5,4.64,
430,2022-10-6,60.0,0.57,
431,2022-10-6,47.5,2.92,
432,2022-10-6,12.5,3.09,
433,2022-10-6,12.5,2.99,
434,2022-10-6,35.0,3.72,
435,2022-10-6,35.0,2.54,
436,2022-10-6,47.5,1.31,
437,2022-10-6,12.5,1.16,
438,2022-10-6,12.5,3.62,
439,2022-10-6,57.5,0.4,
440,2022-10-6,45.0,2.38,
441,2022-10-6,35.0,2.53,
442,2022-10-6,55.0,3.19,
443,2022-10-6,45.0,2.75,
444,2022-10-6,35.0,1.11,
445,2022-10-6,32.5,3.43,
446,2022-10-6,25.0,1.53,
447,2022-10-6,57.5,4.39,
448,2022-10-6,42.5,4.98,
449,2022-10-6,42.5,2.35,
450,2022-10-6,30,0.73,
451,2022-10-6,22.5,4.75,
452,2022-10-6,45.0,3.91,
453,2022-10-6,10,3.27,
454,2022-10-6,35.0,1.2,
455,2022-10-6,10,3.31,
456,2022-10-6,32.5,3.01,
457,2022-10-6,12.5,3.55,
458,2022-10-6,22.5,2.33,
459,2022-10-6,45.0,3.06,
460,2022-10-6,12.5,2.69,
461,2022-10-6,42.5,3.77,
462,2022-10-6,32.5,2.27,
463,2022-10-6,55.0,4.04,
464,2022-10-6,37.5,0.67,
465,2022-10-6,35.0,1.57,
466,2022-10-6,35.0,0.14,
467,2022-10-6,47.5,4.84,
468,2022-10-6,35.0,2.0,
469,2022-10-6,57.5,1.18,
470,2022-10-6,32.5,1.37,
471,2022-10-6,10,4.29,
472,2022-10-6,50,2.68,
473,2022-10-6,47.5,0.94,
474,2022-10-6,35.0,0.62,
475,2022-10-6,12.5,2.95,
476,2022-10-6,45.0,1.02,
477,2022-10-6,60.0,2.85,
478,2022-10-6,12.5,0.48,
479,2022-10-6,55.0,2.94,
480,2022-10-6,12.5,3.72,
481,2022-10-6,45.0,1.94,
482,2022-10-6,12.5,4.86,
483,2022-10-6,57.5,1.56,
484,2022-10-6,45.0,3.32,
485,2022-10-6,57.5,0.63,
486,2022-10-6,25.0,0.36,
487,2022-10-6,12.5,4.49,
488,2022-10-6,10,2.44,
489,2022-10-6,45.0,4.31,
490,2022-10-6,55.0,4.94,
491,2022-10-6,52.5,4.3,
492,2022-10-6,10,1.23,
493,2022-10-6,12.5,0.96,
494,2022-10-6,45.0,2.51,
495,2022-10-6,30,1.17,
496,2022-10-6,55.0,3.47,
497,2022-10-6,10,0.08,
498,2022-10-6,35.0,2.76,
499,2022-10-6,20,4.85,
500,2022-10-7,10,3.75,
501,2022-10-7,25.0,2.86,
502,2022-10-7,55.0,4.26,
503,2022-10-7,60.0,0.13,
504,2022-10-7,32.5,1.53,
505,2022-10-7,57.5,0.84,
506,2022-10-7,25.0,4.34,
507,2022-10-7,47.5,0.76,
508,2022-10-7,55.0,3.29,
509,2022-10-7,42.5,4.7,
510,2022-10-7,22.5,1.15,
511,2022-10-7,12.5,2.78,
512,2022-10-7,35.0,1.88,
513,2022-10-7,37.5,2.43,
514,2022-10-7,22.5,0.21,
515,2022-10-7,52.5,0.55,
516,2022-10-7,42.5,3.71,
517,2022-10-7,12.5,0.98,
518,2022-10-7,12.5,3.99,
519,2022-10-7,55.0,2.81,
520,2022-10-7,22.5,2.76,
521,2022-10-7,45.0,1.44,
522,2022-10-7,10,2.63,
523,2022-10-7,12.5,3.01,
524,2022-10-7,45.0,3.21,
525,2022-10-7,22.5,4.62,
526,2022-10-7,35.0,4.54,
527,2022-10-7,45.0,2.24,
528,2022-10-7,25.0,0.49,
529,2022-10-7,22.5,0.11,
530,2022-10-7,22.5,0.84,
531,2022-10-7,10,4.69,
532,2022-10-7,40,1.01,
533,2022-10-7,10,0.92,
534,2022-10-7,32.5,0.82,
535,2022-10-7,32.5,2.53,
536,2022-10-7,10,4.11,
537,2022-10-7,55.0,2.97,
538,2022-10-7,12.5,4.26,
539,2022-10-7,12.5,1.29,
540,2022-10-7,35.0,4.77,
541,2022-10-7,10,3.86,
542,2022-10-7,42.5,4.28,
543,2022-10-7,47.5,1.77,
544,2022-10-7,42.5,3.19,
545,2022-10-7,42.5,1.8,
546,2022-10-7,12.5,2.27,
547,2022-10-7,57.5,2.11,
548,2022-10-7,32.5,4.39,
549,2022-10-7,37.5,3.75,
550,2022-10-7,25.0,1.23,
551,2022-10-7,32.5,4.7,
552,2022-10-7,42.5,1.06,
553,2022-10-7,12.5,3.39,
554,2022-10-7,52.5,2.07,
555,2022-10-7,10,3.89,
556,2022-10-7,60.0,1.6,
557,2022-10-7,55.0,2.38,
558,2022-10-7,42.5,1.97,
559,2022-10-7,45.0,1.19,
560,2022-10-7,35.0,3.29,
561,2022-10-7,47.5,4.64,
562,2022-10-7,32.5,2.18,
563,2022-10-7,22.5,4.97,
564,2022-10-7,57.5,2.18,
565,2022-10-7,45.0,4.48,
566,2022-10-7,55.0,0.69,
567,2022-10-7,42.5,1.31,
568,2022-10-7,50.0,2.03,
569,2022-10-7,32.5,3.76,
570,2022-10-7,47.5,1.29,
571,2022-10-7,60.0,2.45,
572,2022-10-7,22.5,0.42,
573,2022-10-7,35.0,4.58,
574,2022-10-7,22.5,3.67,
575,2022-10-7,22.5,0.69,
576,2022-10-7,45.0,3.77,
577,2022-10-7,12.5,1.98,
578,2022-10-7,30,3.72,
579,2022-10-7,32.5,3.46,
580,2022-10-7,35.0,3.79,
581,2022-10-7,55.0,2.05,
582,2022-10-7,50.0,3.41,
583,2022-10-7,57.5,3.59,
584,2022-10-7,20,4.66,
585,2022-10-7,30,1.55,
586,2022-10-7,57.5,4.74,
587,2022-10-7,35.0,2.77,
588,2022-10-7,47.5,1.66,
589,2022-10-7,35.0,1.23,
590,2022-10-7,10,3.35,
591,2022-10-7,47.5,3.4,
592,2022-10-7,42.5,1.29,
593,2022-10-7,35.0,2.54,
594,2022-10-7,35.0,0.46,
595,2022-10-7,57.5,2.79,
596,2022-10-7,45.0,2.27,
597,2022-10-7,42.5,2.45,
598,2022-10-7,35.0,2.56,
599,2022-10-7,45.0,1.86,
600,2022-10-8,10,2.02,
601,2022-10-8,42.5,1.99,
602,2022-10-8,32.5,0.94,
603,2022-10-8,22.5,2.94,
604,2022-10-8,12.5,1.73,
605,2022-10-8,25.0,3.07,
606,2022-10-8,32.5,4.38,
607,2022-10-8,45.0,3.16,
608,2022-10-8,32.5,4.75,
609,2022-10-8,10,2.09,
610,2022-10-8,12.5,0.94,
611,2022-10-8,12.5,0.71,
612,2022-10-8,25.0,0.01,
613,2022-10-8,10,4.36,
614,2022-10-8,10,0.27,
615,2022-10-8,60.0,0.9,
616,2022-10-8,10,3.79,
617,2022-10-8,32.5,3.48,
618,2022-10-8,12.5,1.77,
619,2022-10-8,30,2.09,
620,2022-10-8,42.5,2.93,
621,2022-10-8,22.5,0.12,
622,2022-10-8,57.5,3.85,
623,2022-10-8,22.5,0.52,
624,2022-10-8,30,1.2,
625,2022-10-8,35.0,1.09,
626,2022-10-8,10,4.91,
627,2022-10-8,60.0,0.44,
628,2022-10-8,57.5,3.22,
629,2022-10-8,10,0.07,
630,2022-10-8,32.5,0.58,
631,2022-10-8,55.0,0.66,
632,2022-10-8,57.5,3.03,
633,2022-10-8,20,2.15,
634,2022-10-8,47.5,3.16,
635,2022-10-8,25.0,0.22,
636,2022-10-8,55.0,1.83,
637,2022-10-8,50.0,3.98,
638,2022-10-8,45.0,1.61,
639,2022-10-8,55.0,4.78,
640,2022-10-8,57.5,4.26,
641,2022-10-8,45.0,3.86,
642,2022-10-8,45.0,2.14,
643,2022-10-8,42.5,4.3,
644,2022-10-8,22.5,1.52,
645,2022-10-8,47.5,3.46,
646,2022-10-8,42.5,0.0,
647,2022-10-8,45.0,1.11,
648,2022-10-8,35.0,0.9,
649,2022-10-8,32.5,3.45,
650,2022-10-8,22.5,0.79,
651,2022-10-8,55.0,4.5,
652,2022-10-8,42.5,4.89,
653,2022-10-8,45.0,4.71,
654,2022-10-8,45.0,3.65,
655,2022-10-8,35.0,1.24,
656,2022-10-8,12.5,0.36,
657,2022-10-8,55.0,2.18,
658,2022-10-8,10,2.26,
659,2022-10-8,57.5,2.85,
660,2022-10-8,25.0,3.97,
661,2022-10-8,10,2.1,
662,2022-10-8,42.5,3.17,
663,2022-10-8,55.0,4.93,
664,2022-10-8,10,1.59,
665,2022-10-8,12.5,0.99,
666,2022-10-8,12.5,3.41,
667,2022-10-8,60.0,4.11,
668,2022-10-8,42.5,2.01,
669,2022-10-8,20,2.43,
670,2022-10-8,12.5,4.52,
671,2022-10-8,30,4.15,
672,2022-10-8,55.0,4.78,
673,2022-10-8,20,3.49,
674,2022-10-8,35.0,2.9,
675,2022-10-8,42.5,3.35,
676,2022-10-8,57.5,1.28,
677,2022-10-8,12.5,0.14,
678,2022-10-8,37.5,0.73,
679,2022-10-8,32.5,0.82,
680,2022-10-8,25.0,3.9,
681,2022-10-8,42.5,0.31,
682,2022-10-8,45.0,3.32,
683,2022-10-8,12.5,2.32,
684,2022-10-8,22.5,4.0,
685,2022-10-8,25.0,3.21,
686,2022-10-8,35.0,3.95,
687,2022-10-8,25.0,0.96,
688,2022-10-8,47.5,4.28,
689,2022-10-8,22.5,0.07,
690,2022-10-8,10,1.91,
691,2022-10-8,37.5,3.23,
692,2022-10-8,25.0,4.44,
693,2022-10-8,57.5,3.5,
694,2022-10-8,32.5,3.84,
695,2022-10-8,20,4.41,
696,2022-10-8,25.0,3.56,
697,2022-10-8,35.0,1.66,
698,2022-10-8,12.5,1.84,
699,2022-10-8,25.0,0.33,
700,2022-10-9,57.5,0.68,
701,2022-10-9,22.5,2.57,
702,2022-10-9,60.0,1.91,
703,2022-10-9,42.5,2.57,
704,2022-10-9,10,4.59,
705,2022-10-9,55.0,4.17,
706,2022-10-9,47.5,1.73,
707,2022-10-9,12.5,0.55,
708,2022-10-9,55.0,0.5,
709,2022-10-9,12.5,0.63,
710,2022-10-9,10,4.68,
711,2022-10-9,47.5,0.88,
712,2022-10-9,22.5,1.64,
713,2022-10-9,10,4.27,
714,2022-10-9,10,4.2,
715,2022-10-9,35.0,2.66,
716,2022-10-9,12.5,0.66,
717,2022-10-9,12.5,2.92,
718,2022-10-9,20,4.43,
719,2022-10-9,32.5,1.67,
720,2022-10-9,45.0,1.23,
721,2022-10-9,47.5,2.95,
722,2022-10-9,12.5,0.63,
723,2022-10-9,47.5,4.24,
724,2022-10-9,30,2.73,
725,2022-10-9,55.0,0.36,
726,2022-10-9,45.0,3.91,
727,2022-10-9,55.0,0.41,
728,2022-10-9,47.5,3.88,
729,2022-10-9,45.0,0.81,
730,2022-10-9,35.0,0.35,
731,2022-10-9,35.0,1.89,
732,2022-10-9,37.5,3.27,
733,2022-10-9,35.0,4.01,
734,2022-10-9,37.5,2.83,
735,2022-10-9,22.5,1.27,
736,2022-10-9,25.0,2.37,
737,2022-10-9,20,4.63,
738,2022-10-9,45.0,3.81,
739,2022-10-9,12.5,4.33,
740,2022-10-9,12.5,4.84,
741,2022-10-9,22.5,4.37,
742,2022-10-9,47.5,3.09,
743,2022-10-9,32.5,2.53,
744,2022-10-9,60.0,1.51,
745,2022-10-9,25.0,1.65,
746,2022-10-9,12.5,4.45,
747,2022-10-9,30,2.33,
748,2022-10-9,57.5,2.51,
749,2022-10-9,10,0.97,
750,2022-10-9,60.0,0.88,
751,2022-10-9,60.0,2.46,
752,2022-10-9,35.0,1.01,
753,2022-10-9,45.0,1.93,
754,2022-10-9,55.0,0.56,
755,2022-10-9,12.5,0.79,
756,2022-10-9,55.0,4.18,
757,2022-10-9,22.5,4.61,
758,2022-10-9,20,1.55,
759,2022-10-9,45.0,2.49,
760,2022-10-9,10,2.64,
761,2022-10-9,10,1.25,
762,2022-10-9,35.0,4.46,
763,2022-10-9,12.5,1.7,
764,2022-10-9,60.0,0.02,
765,2022-10-9,52.5,1.61,
766,2022-10-9,32.5,1.72,
767,2022-10-9,25.0,1.02,
768,2022-10-9,10,2.97,
769,2022-10-9,47.5,4.1,
770,2022-10-9,45.0,3.63,
771,2022-10-9,52.5,3.7,
772,2022-10-9,30,4.96,
773,2022-10-9,47.5,0.9,
774,2022-10-9,25.0,3.86,
775,2022-10-9,45.0,0.37,
776,2022-10-9,22.5,1.63,
777,2022-10-9,12.5,2.31,
778,2022-10-9,52.5,3.56,
779,2022-10-9,47.5,3.1,
780,2022-10-9,22.5,3.33,
781,2022-10-9,57.5,0.21,
782,2022-10-9,25.0,2.9,
783,2022-10-9,10,4.58,
784,2022-10-9,30,3.69,
785,2022-10-9,35.0,2.22,
786,2022-10-9,10,4.23,
787,2022-10-9,45.0,2.97,
788,2022-10-9,30,2.73,
789,2022-10-9,10,0.07,
790,2022-10-9,45.0,4.21,
