Order_ID, Date_, Subtotal, Tip, Coupon_Code, Time_
174,2022-10-4,20.0,1.01,,14:58
175,2022-10-4,25.0,3.85,,14:17
176,2022-10-4,42.5,3.44,,20:51
177,2022-10-4,60.0,0.85,,22:16
178,2022-10-4,30.0,4.08,,12:45
179,2022-10-4,30.0,1.77,,18:7
180,2022-10-4,55.0,2.92,,22:10
181,2022-10-4,50.0,4.46,,20:38
182,2022-10-4,15.0,1.49,,18:18
183,2022-10-4,50.0,0.9,,14:45
184,2022-10-4,50.0,0.4,,19:57
185,2022-10-4,45.0,1.24,,11:49
186,2022-10-4,65.0,0.35,,15:35
187,2022-10-4,47.5,4.66,,14:28
188,2022-10-4,70.0,3.49,,13:16
189,2022-10-4,22.5,5.0,,21:11
190,2022-10-4,15.0,2.49,,17:48
191,2022-10-4,40.0,3.84,,12:30
192,2022-10-4,32.5,4.12,,18:39
193,2022-10-4,35.0,3.42,,20:36
194,2022-10-4,60.0,3.89,,14:7
195,2022-10-4,57.5,4.34,,13:48
196,2022-10-4,77.5,2.56,,14:41
197,2022-10-4,60.0,2.97,,12:19
198,2022-10-4,12.5,0.6,,14:8
199,2022-10-4,67.5,0.77,,21:44
200,2022-10-4,35.0,3.36,,14:29
201,2022-10-4,72.5,1.68,,17:39
202,2022-10-4,20.0,1.98,,14:57
203,2022-10-4,57.5,3.19,,16:48
204,2022-10-4,27.5,2.94,,18:35
205,2022-10-4,15.0,0.36,,17:45
206,2022-10-4,22.5,0.72,,16:19
207,2022-10-4,40.0,1.21,,12:57
208,2022-10-4,52.5,0.11,,19:23
209,2022-10-4,35.0,1.65,,15:56
210,2022-10-4,10.0,2.44,,21:43
211,2022-10-4,82.5,4.86,,13:5
212,2022-10-4,35.0,4.88,,22:21
213,2022-10-4,67.5,2.24,,21:1
214,2022-10-4,72.5,0.55,,19:48
215,2022-10-4,45.0,2.85,,12:32
216,2022-10-4,55.0,4.87,,22:37
217,2022-10-4,22.5,0.71,,14:45
218,2022-10-4,55.0,2.75,,19:8
219,2022-10-4,27.5,1.01,,12:58
220,2022-10-4,70.0,1.76,,12:34
221,2022-10-4,65.0,1.84,,13:18
222,2022-10-4,20.0,2.38,,13:14
223,2022-10-4,35.0,2.13,,15:21
224,2022-10-4,67.5,3.44,,19:54
225,2022-10-4,67.5,2.1,,22:2
226,2022-10-4,15.0,2.41,,12:50
227,2022-10-4,67.5,0.92,,15:51
228,2022-10-4,20.0,0.0,,13:53
229,2022-10-4,32.5,0.11,,22:31
230,2022-10-4,40.0,1.95,,13:53
231,2022-10-4,20.0,1.49,,12:26
232,2022-10-4,57.5,5.0,,16:26
233,2022-10-4,62.5,3.12,,16:40
234,2022-10-4,70.0,2.95,,22:32
235,2022-10-4,60.0,2.74,,15:58
236,2022-10-4,10.0,2.77,,22:4
237,2022-10-4,52.5,4.05,,22:6
238,2022-10-4,55.0,2.56,,20:14
239,2022-10-4,72.5,0.07,,20:52
240,2022-10-4,27.5,0.26,,19:23
241,2022-10-4,67.5,3.09,,18:41
242,2022-10-5,10.0,4.13,,18:26
243,2022-10-5,35.0,0.06,,19:23
244,2022-10-5,25.0,2.0,,21:13
245,2022-10-5,57.5,1.8,,15:22
246,2022-10-5,32.5,3.4,,17:13
247,2022-10-5,30.0,1.23,,22:1
248,2022-10-5,45.0,1.38,,21:59
249,2022-10-5,15.0,2.12,,14:55
250,2022-10-5,42.5,4.35,,15:8
251,2022-10-5,40.0,0.8,,21:6
252,2022-10-5,20.0,3.71,,12:7
253,2022-10-5,12.5,1.23,,16:29
254,2022-10-5,45.0,3.66,,18:40
255,2022-10-5,25.0,2.41,,18:9
256,2022-10-5,70.0,0.89,,16:8
257,2022-10-5,50.0,2.13,,15:0
258,2022-10-5,40.0,4.54,,20:14
259,2022-10-5,72.5,1.69,,21:46
260,2022-10-5,12.5,5.0,,12:25
261,2022-10-5,25.0,2.82,,11:52
262,2022-10-5,20.0,4.94,,20:49
263,2022-10-5,52.5,3.28,,19:57
264,2022-10-5,42.5,1.79,,20:5
265,2022-10-5,27.5,3.99,,22:25
266,2022-10-5,8.0,1.42,,22:5
267,2022-10-5,12.5,2.67,,21:55
268,2022-10-5,20.5,2.35,,18:15
269,2022-10-5,25.0,3.98,,15:21
270,2022-10-5,35.0,2.54,,16:52
271,2022-10-5,60.0,0.44,,18:16
272,2022-10-5,57.5,4.19,,12:26
273,2022-10-5,72.5,0.21,,11:12
274,2022-10-5,60.0,0.81,,22:31
275,2022-10-5,75.0,1.6,,12:42
276,2022-10-5,12.5,4.04,,19:31
277,2022-10-5,10.0,3.98,,15:37
278,2022-10-5,25.0,1.94,,14:38
279,2022-10-5,32.5,2.22,,22:54
280,2022-10-5,70.0,4.51,,19:46
281,2022-10-5,57.5,2.49,,20:29
282,2022-10-5,55.0,1.01,,20:30
283,2022-10-5,50.0,1.06,,13:22
284,2022-10-5,72.5,4.96,,14:48
285,2022-10-5,50.0,4.57,,16:33
286,2022-10-5,22.5,0.14,,12:13
287,2022-10-5,12.5,2.38,,19:22
288,2022-10-5,57.5,2.12,,14:37
289,2022-10-5,50.0,2.55,,14:7
290,2022-10-5,57.5,3.63,,17:50
291,2022-10-5,42.5,0.65,,14:21
292,2022-10-5,20.0,4.08,,15:1
293,2022-10-5,77.5,1.62,,13:37
294,2022-10-5,40.0,3.13,,14:42
295,2022-10-5,15.0,2.19,,18:44
296,2022-10-5,10.0,0.9,,16:1
297,2022-10-5,50.0,2.97,,21:35
298,2022-10-5,35.0,3.11,,11:3
299,2022-10-5,57.5,3.39,,17:10
300,2022-10-5,40.0,2.73,,17:16
301,2022-10-5,10.0,1.3,,14:30
302,2022-10-5,37.5,4.61,,19:28
303,2022-10-5,42.5,0.61,,21:46
304,2022-10-5,67.5,2.88,,16:8
305,2022-10-5,22.5,3.07,,12:30
306,2022-10-5,72.5,3.31,,22:52
307,2022-10-5,20.0,4.06,,17:16
308,2022-10-5,50.0,0.56,,11:46
309,2022-10-5,57.5,0.01,,14:45
310,2022-10-5,10.0,1.6,,14:15
311,2022-10-5,55.0,0.87,,11:18
312,2022-10-5,22.5,4.52,,13:26
313,2022-10-5,32.5,4.5,,19:5
314,2022-10-5,30.0,3.08,,16:16
315,2022-10-5,45.0,3.38,,18:37
316,2022-10-5,15.0,0.21,,18:8
317,2022-10-5,30.0,1.16,,22:55
318,2022-10-5,32.5,3.11,,17:20
319,2022-10-5,67.5,4.95,,22:1
320,2022-10-5,42.5,0.67,,22:56
321,2022-10-5,60.0,3.26,,22:18
322,2022-10-5,45.0,4.91,,21:36
323,2022-10-5,55.0,4.21,,20:3
324,2022-10-5,67.5,4.13,,22:43
325,2022-10-5,47.5,4.38,,11:15
326,2022-10-5,65.0,4.41,,20:5
327,2022-10-5,67.5,3.23,,21:26
328,2022-10-5,10.0,2.65,,17:27
329,2022-10-5,55.0,2.41,,13:14
330,2022-10-5,25.0,2.91,,21:56
331,2022-10-5,15.0,3.68,,17:1
332,2022-10-5,82.5,4.46,,22:33
333,2022-10-5,65.0,3.99,,16:42
334,2022-10-5,70.0,1.95,,15:16
335,2022-10-5,20.0,1.8,,12:24
336,2022-10-5,25.0,0.38,,15:46
337,2022-10-5,12.5,2.06,,12:24
338,2022-10-5,50.0,3.73,,17:14
339,2022-10-5,77.5,0.36,,19:12
340,2022-10-5,57.5,1.01,,15:1
341,2022-10-5,30.0,1.66,,12:31
342,2022-10-5,65.0,3.21,,19:28
343,2022-10-5,45.0,2.07,,12:47
344,2022-10-5,45.0,0.35,,12:19
345,2022-10-5,67.5,4.09,,16:34
346,2022-10-5,67.5,1.7,,22:53
347,2022-10-5,80.0,4.72,,18:49
348,2022-10-5,55.0,1.1,,13:8
349,2022-10-5,67.5,1.03,,19:27
350,2022-10-5,15.0,2.5,,18:28
351,2022-10-5,42.5,4.04,,19:24
352,2022-10-5,47.5,4.3,,19:32
353,2022-10-5,10.0,2.41,,19:55
354,2022-10-5,55.0,1.87,,20:24
355,2022-10-5,15.0,1.5,,14:6
356,2022-10-6,55.0,0.38,,21:42
357,2022-10-6,27.5,1.07,,21:52
358,2022-10-6,40.0,4.09,,17:30
359,2022-10-6,55.0,2.14,,22:37
360,2022-10-6,53.0,3.49,,19:30
361,2022-10-6,65.0,4.34,,17:17
362,2022-10-6,52.5,3.43,,15:52
363,2022-10-6,32.5,3.8,,11:14
364,2022-10-6,45.0,4.63,,12:42
365,2022-10-6,12.5,2.92,,21:19
366,2022-10-6,55.0,1.0,,16:53
367,2022-10-6,47.5,0.73,,20:12
368,2022-10-6,62.5,2.9,,21:23
369,2022-10-6,22.5,4.41,,21:51
370,2022-10-6,55.0,0.03,,19:22
371,2022-10-6,57.5,1.26,,12:16
372,2022-10-6,70.0,1.04,,20:34
373,2022-10-6,12.5,1.46,,17:36
374,2022-10-6,40.5,4.69,,14:25
375,2022-10-6,30.0,3.81,,13:40
376,2022-10-6,72.5,2.56,,12:57
377,2022-10-6,12.5,0.2,,19:12
378,2022-10-6,12.5,1.93,,12:13
379,2022-10-6,20.0,0.59,,21:59
380,2022-10-6,55.0,4.44,,20:57
381,2022-10-6,60.0,0.82,,15:2
382,2022-10-6,70.5,1.38,,13:8
383,2022-10-6,70.0,0.57,,19:19
384,2022-10-6,62.5,1.29,,20:22
385,2022-10-6,52.5,3.14,,21:48
386,2022-10-6,12.5,2.94,,16:24
387,2022-10-6,50.0,4.65,,11:2
388,2022-10-6,20.0,3.77,,13:42
389,2022-10-6,60.0,2.58,,17:26
390,2022-10-6,77.5,2.28,,16:28
391,2022-10-6,42.5,0.42,,17:30
392,2022-10-6,12.5,0.1,,13:54
393,2022-10-6,55.0,4.98,,20:47
394,2022-10-6,25.0,0.64,,13:58
395,2022-10-6,10.0,2.48,,19:21
396,2022-10-6,47.5,3.13,,16:36
397,2022-10-6,52.5,2.31,,14:25
398,2022-10-6,47.5,3.95,,14:33
399,2022-10-6,15.0,3.53,,13:32
400,2022-10-6,57.5,0.82,,14:2
401,2022-10-6,12.5,2.3,,14:38
402,2022-10-6,72.5,0.42,,20:5
403,2022-10-6,57.5,3.88,,13:24
404,2022-10-6,35.5,1.38,,22:45
405,2022-10-6,30.0,3.64,,19:6
406,2022-10-6,45.0,0.35,,20:2
407,2022-10-6,50.0,1.87,,18:16
408,2022-10-6,30.0,0.67,,11:32
409,2022-10-6,40.5,2.35,,18:5
410,2022-10-6,70.0,3.18,,19:36
411,2022-10-6,62.5,2.87,,19:46
412,2022-10-6,50.0,4.51,,15:45
413,2022-10-6,10.0,0.92,,20:58
414,2022-10-6,62.5,1.57,,11:21
415,2022-10-6,65.0,0.94,,16:58
416,2022-10-6,60.0,1.11,,21:10
417,2022-10-6,27.5,1.51,,11:56
418,2022-10-6,55.5,2.88,,12:21
419,2022-10-6,25.0,3.63,,14:5
420,2022-10-6,55.0,4.91,,16:6
421,2022-10-6,30.0,0.61,,17:42
422,2022-10-6,12.5,3.59,,15:10
423,2022-10-6,45.0,0.11,,19:43
424,2022-10-6,32.5,3.04,,17:27
425,2022-10-6,15.0,1.93,,12:5
426,2022-10-6,60.0,2.55,,15:2
427,2022-10-6,75.0,1.79,,13:42
428,2022-10-6,12.5,2.25,,12:8
429,2022-10-6,67.5,3.25,,16:43
430,2022-10-6,45.0,1.95,,13:34
431,2022-10-6,70.0,1.91,,20:12
432,2022-10-6,55.0,0.77,,21:35
433,2022-10-6,60.0,4.65,,19:14
434,2022-10-6,65.0,3.91,,12:47
435,2022-10-6,27.5,2.96,,11:29
436,2022-10-6,10.0,1.48,,16:57
437,2022-10-6,37.5,2.65,,13:51
438,2022-10-6,62.5,2.24,,16:20
439,2022-10-6,60.0,2.0,,14:52
440,2022-10-6,22.5,3.72,,20:51
441,2022-10-6,37.5,1.25,,15:43
442,2022-10-6,47.5,2.24,,17:6
443,2022-10-6,25.0,0.82,,15:16
444,2022-10-6,30.0,2.58,,21:29
445,2022-10-6,65.0,3.66,,13:50
446,2022-10-6,25.0,4.62,,19:50
447,2022-10-6,82.5,4.09,,12:59
448,2022-10-6,65.5,1.19,,11:25
449,2022-10-6,67.5,4.09,,21:11
450,2022-10-6,10.0,3.47,,20:12
451,2022-10-6,65.0,0.61,,22:35
452,2022-10-6,12.5,2.34,,21:20
453,2022-10-6,55.0,1.63,,16:17
454,2022-10-6,60.0,2.49,,20:59
455,2022-10-6,50.0,4.86,,14:46
456,2022-10-6,32.5,4.59,,15:0
457,2022-10-6,25.0,4.05,,18:8
458,2022-10-7,55.0,2.05,,15:8
459,2022-10-7,65.0,1.19,,19:57
460,2022-10-7,50.5,0.5,,17:1
461,2022-10-7,40.0,1.74,,21:42
462,2022-10-7,40.0,4.94,,20:53
463,2022-10-7,45.0,0.63,,18:18
464,2022-10-7,70.0,2.83,,20:34
465,2022-10-7,25.0,0.97,,20:27
466,2022-10-7,87.5,2.88,,16:19
467,2022-10-7,47.5,2.7,,15:25
468,2022-10-7,20.0,1.08,,20:5
469,2022-10-7,37.5,2.98,,20:37
470,2022-10-7,30.0,1.61,,19:1
471,2022-10-7,47.5,4.71,,13:11
472,2022-10-7,45.0,0.96,,15:38
473,2022-10-7,12.5,1.07,,11:20
474,2022-10-7,80.0,3.11,,17:28
475,2022-10-7,10.0,3.08,,15:41
476,2022-10-7,55.0,1.29,,17:54
477,2022-10-7,55.0,3.66,,16:54
478,2022-10-7,27.5,3.64,,12:9
479,2022-10-7,40.0,0.25,,17:26
480,2022-10-7,20.0,4.13,,19:35
481,2022-10-7,32.5,3.66,,17:59
482,2022-10-7,20.0,4.4,,16:46
483,2022-10-7,12.5,1.14,,20:33
484,2022-10-7,65.0,4.03,,22:21
485,2022-10-7,45.0,0.1,,22:14
486,2022-10-7,20.0,0.41,,17:12
487,2022-10-7,72.5,0.63,,21:15
488,2022-10-7,68.0,2.08,,20:20
489,2022-10-7,50.0,1.4,,21:12
490,2022-10-7,51.0,1.77,,17:15
491,2022-10-7,40.0,2.88,,12:45
492,2022-10-7,35.0,1.17,,12:33
493,2022-10-7,20.0,4.93,,14:35
494,2022-10-7,70.0,3.87,,20:23
495,2022-10-7,42.5,4.29,,16:58
496,2022-10-7,65.0,0.34,,20:10
497,2022-10-7,35.0,1.05,,20:54
498,2022-10-7,62.5,4.73,,14:28
499,2022-10-7,45.0,1.23,,19:41
500,2022-10-7,52.5,2.4,,15:51
501,2022-10-7,27.5,4.62,,17:5
502,2022-10-7,35.0,2.7,,11:0
503,2022-10-7,72.5,1.14,,13:51
504,2022-10-7,45.0,0.23,,13:59
505,2022-10-7,22.5,3.08,,18:31
506,2022-10-7,47.5,4.52,,22:42
507,2022-10-7,22.5,1.22,,19:9
508,2022-10-7,12.5,4.54,,16:43
509,2022-10-7,20.0,1.1,,19:58
510,2022-10-7,35.0,3.91,,20:7
511,2022-10-7,40.0,0.45,,19:1
512,2022-10-7,20.0,2.21,,16:40
513,2022-10-7,62.5,2.43,,15:38
514,2022-10-7,25.0,0.21,,20:30
515,2022-10-7,60.0,1.69,,12:3
516,2022-10-7,12.5,0.84,,15:30
517,2022-10-7,40.0,0.54,,19:45
518,2022-10-7,75.0,1.23,,17:47
519,2022-10-7,72.5,3.58,,19:3
520,2022-10-7,10.0,0.96,,19:53
521,2022-10-7,42.5,1.82,,21:56
522,2022-10-7,35.0,3.67,,22:9
523,2022-10-7,25.0,4.59,,17:41
524,2022-10-7,60.0,2.48,,17:24
525,2022-10-7,70.5,1.12,,15:21
526,2022-10-7,50.0,3.44,,22:9
527,2022-10-7,25.0,3.12,,15:51
528,2022-10-7,47.5,3.88,,18:7
529,2022-10-7,50.0,1.94,,21:53
530,2022-10-7,42.5,3.17,,13:27
531,2022-10-7,30.5,0.91,,14:55
532,2022-10-7,35.0,0.61,,21:34
533,2022-10-7,40.0,4.78,,21:11
534,2022-10-7,45.0,0.18,,16:39
535,2022-10-7,67.5,3.16,,22:46
536,2022-10-7,52.5,0.44,,15:55
537,2022-10-7,30.0,4.16,,13:52
538,2022-10-7,15.0,0.77,,15:48
539,2022-10-7,77.5,4.66,,16:2
540,2022-10-7,32.5,0.52,,13:55
541,2022-10-7,12.5,1.22,,13:33
542,2022-10-7,25.0,3.21,,18:51
543,2022-10-7,37.5,2.55,,14:9
544,2022-10-7,12.5,3.09,,21:15
545,2022-10-7,15.0,2.96,,13:40
546,2022-10-7,57.5,2.41,,13:16
547,2022-10-7,50.0,4.78,,20:38
548,2022-10-7,42.5,2.28,,11:2
549,2022-10-7,40.0,0.25,,21:3
550,2022-10-7,42.5,0.01,,22:59
551,2022-10-7,27.5,4.13,,16:11
552,2022-10-7,35.0,2.41,,19:17
553,2022-10-7,30.0,2.33,,12:57
554,2022-10-7,52.5,0.83,,19:43
555,2022-10-7,65.0,1.74,,13:57
556,2022-10-7,10.0,2.83,,19:15
557,2022-10-7,20.0,4.95,,13:39
558,2022-10-7,25.0,0.2,,12:4
559,2022-10-7,20.0,4.66,,12:34
560,2022-10-7,20.0,1.97,,12:2
561,2022-10-7,40.0,2.17,,13:55
562,2022-10-7,22.5,3.23,,19:31
563,2022-10-8,65.0,1.48,,11:43
564,2022-10-8,52.5,1.87,,15:38
565,2022-10-8,37.5,1.95,,20:29
566,2022-10-8,77.5,3.14,,18:26
567,2022-10-8,62.5,0.85,,11:13
568,2022-10-8,50.0,4.83,,14:32
569,2022-10-8,15.0,2.34,,20:50
570,2022-10-8,28.0,1.63,,14:57
571,2022-10-8,27.5,0.84,,14:38
572,2022-10-8,35.0,0.81,,15:37
573,2022-10-8,45.0,0.61,,13:23
574,2022-10-8,72.5,2.1,,11:27
575,2022-10-8,10.0,3.4,,12:18
576,2022-10-8,37.5,4.38,,16:26
577,2022-10-8,57.5,0.32,,13:37
578,2022-10-8,12.5,1.6,,12:11
579,2022-10-8,60.0,1.31,,15:43
580,2022-10-8,30.0,3.75,,20:7
581,2022-10-8,52.5,2.99,,18:11
582,2022-10-8,70.0,2.78,,21:44
583,2022-10-8,45.0,0.08,,11:3
584,2022-10-8,20.0,1.37,,12:5
585,2022-10-8,75.0,4.43,,12:3
586,2022-10-8,32.5,1.62,,13:26
587,2022-10-8,40.0,0.87,,12:6
588,2022-10-8,82.5,1.07,,21:22
589,2022-10-8,27.5,3.73,,17:6
590,2022-10-8,20.0,1.26,,20:17
591,2022-10-8,20.0,2.61,,13:36
592,2022-10-8,35.0,4.83,,19:22
593,2022-10-8,10.0,4.15,,20:8
594,2022-10-8,53.0,4.0,,15:3
595,2022-10-8,77.5,1.87,,11:51
596,2022-10-8,62.5,2.68,,17:53
597,2022-10-8,47.5,1.92,,16:19
598,2022-10-8,45.0,4.44,,21:13
599,2022-10-8,52.5,4.23,,12:32
600,2022-10-8,25.0,3.56,,15:32
601,2022-10-8,52.5,1.47,,16:39
602,2022-10-8,60.0,3.11,,12:31
603,2022-10-8,37.5,3.98,,17:27
604,2022-10-8,67.5,0.93,,11:11
605,2022-10-8,77.5,2.89,,22:57
606,2022-10-8,77.5,0.62,,20:21
607,2022-10-8,57.5,0.56,,11:48
608,2022-10-8,45.0,3.24,,19:2
609,2022-10-8,65.0,4.57,,13:52
610,2022-10-8,42.5,4.98,,11:40
611,2022-10-8,87.5,0.53,,17:22
612,2022-10-8,55.0,0.92,,20:1
613,2022-10-8,27.5,3.24,,18:53
614,2022-10-8,60.0,4.59,,16:7
615,2022-10-8,55.0,4.86,,20:18
616,2022-10-8,42.5,0.85,,11:19
617,2022-10-8,32.5,4.93,,20:38
618,2022-10-8,77.5,2.43,,16:31
619,2022-10-8,70.0,3.51,,11:24
620,2022-10-8,55.0,3.98,,13:7
621,2022-10-8,20.0,4.69,,14:6
622,2022-10-8,62.5,3.16,,12:18
623,2022-10-8,57.5,2.97,,20:59
624,2022-10-8,65.0,1.5,,21:11
625,2022-10-8,60.0,4.3,,20:10
626,2022-10-8,60.0,3.24,,20:4
627,2022-10-8,15.0,0.05,,13:6
628,2022-10-8,22.5,3.77,,22:48
629,2022-10-8,65.0,0.34,,14:21
630,2022-10-8,55.0,3.28,,17:4
631,2022-10-8,22.5,1.48,,22:19
632,2022-10-8,32.5,3.46,,16:39
